__background__	background
airplane	vehicle
animal	animal
arm	part_animal_person
bag	clothes
banana	food
basket	artifact
beach	location
bear	animal
bed	furniture
bench	furniture
bike	vehicle
bird	animal
board	artifact
boat	vehicle
book	artifact
boot	clothes
bottle	artifact
bowl	artifact
box	artifact
boy	person
branch	part_flora
building	building
bus	vehicle
cabinet	furniture
cap	clothes
car	vehicle
cat	animal
chair	furniture
child	person
clock	artifact
coat	clothes
counter	furniture
cow	animal
cup	artifact
curtain	artifact
desk	furniture
dog	animal
door	part_building
drawer	part_table
ear	part_animal_person
elephant	animal
engine	part_vehicle
eye	part_animal_person
face	part_animal_person
fence	structure
finger	part_animal_person
flag	artifact
flower	flora
food	food
fork	artifact
fruit	food
giraffe	animal
girl	person
glass	artifact
glove	clothes
guy	person
hair	part_animal_person
hand	part_animal_person
handle	part_door
hat	clothes
head	part_animal_person
helmet	clothes
hill	location
horse	animal
house	building
jacket	clothes
jean	clothes
kid	person
kite	artifact
lady	person
lamp	artifact
laptop	artifact
leaf	part_flora
leg	part_animal_person
letter	artifact
light	artifact
logo	part_clothes
man	person
men	person
motorcycle	vehicle
mountain	location
mouth	part_animal_perosn
neck	part_animal_person
nose	part_animal_person
number	artifact
orange	food
pant	clothes
paper	artifact
paw	part_animal
people	person
person	person
phone	artifact
pillow	artifact
pizza	food
plane	vehicle
plant	flora
plate	artifact
player	person
pole	artifact
post	structure
pot	artifact
racket	artifact
railing	furniture	
rock	location
roof	part_building
room	location
screen	part_laptop_phone
seat	part_vehicle
sheep	animal
shelf	artifact
shirt	clothes
shoe	clothes
short	clothes
sidewalk	location
sign	structure
sink	furniture
skateboard	vehicle
ski	artifact
skier	person
sneaker	clothes
snow	location
sock	clothes
stand	artifact
street	location
surfboard	vehicle
table	furniture
tail	part_animal
tie	clothes
tile	part_building
tire	part_vehicle
toilet	artifact
towel	artifact
tower	part_building
track	artifact
train	vehicle
tree	flora
truck	vehicle
trunk	part_flora
umbrella	artifact
vase	artifact
vegetable	food
vehicle	vehicle
wave	location
wheel	part_vehicle
window	part_building
windshield	part_vehicle
wing	part_animal
wire	artifact
woman	person
zebra	animal
